Sr. No.,Symbol,Company Name
1,RELIANCE,Reliance Industries Limited
2,TCS,Tata Consultancy Services Limited
3,HDFCBANK,HDFC Bank Limited
4,ICICIBANK,ICICI Bank Limited
5,HINDUNILVR,Hindustan Unilever Limited
6,INFY,Infosys Limited
7,HDFC,Housing Development Finance Corporation Limited
8,ITC,ITC Limited
9,SBIN,State Bank of India
10,BHARTIARTL,Bharti Airtel Limited
11,KOTAKBANK,Kotak Mahindra Bank Limited
12,BAJFINANCE,Bajaj Finance Limited
13,LICI,Life Insurance Corporation Of India
14,LT,Larsen & Toubro Limited
15,HCLTECH,HCL Technologies Limited
16,ASIANPAINT,Asian Paints Limited
17,AXISBANK,Axis Bank Limited
18,MARUTI,Maruti Suzuki India Limited
19,SUNPHARMA,Sun Pharmaceutical Industries Limited
20,TITAN,Titan Company Limited
21,DMART,Avenue Supermarts Limited
22,ULTRACEMCO,UltraTech Cement Limited
23,BAJAJFINSV,Bajaj Finserv Limited
24,WIPRO,Wipro Limited
25,ADANIENT,Adani Enterprises Limited
26,ONGC,Oil & Natural Gas Corporation Limited
27,NTPC,NTPC Limited
28,JSWSTEEL,JSW Steel Limited
29,POWERGRID,Power Grid Corporation of India Limited
30,M&M,Mahindra & Mahindra Limited
31,LTIM,LTIMindtree Limited
32,TATAMOTORS,Tata Motors Limited
33,ADANIGREEN,Adani Green Energy Limited
34,ADANIPORTS,Adani Ports and Special Economic Zone Limited
35,COALINDIA,Coal India Limited
36,TATASTEEL,Tata Steel Limited
37,HINDZINC,Hindustan Zinc Limited
38,PIDILITIND,Pidilite Industries Limited
39,SIEMENS,Siemens Limited
40,ADANITRANS,Adani Transmission Limited
41,SBILIFE,SBI Life Insurance Company Limited
42,IOC,Indian Oil Corporation Limited
43,BAJAJ-AUTO,Bajaj Auto Limited
44,GRASIM,Grasim Industries Limited
45,TECHM,Tech Mahindra Limited
46,HDFCLIFE,HDFC Life Insurance Company Limited
47,BRITANNIA,Britannia Industries Limited
48,VEDL,Vedanta Limited
49,GODREJCP,Godrej Consumer Products Limited
50,DABUR,Dabur India Limited
51,ATGL,Adani Total Gas Limited
52,SHREECEM,SHREE CEMENT LIMITED
53,HAL,Hindustan Aeronautics Limited
54,HINDALCO,Hindalco Industries Limited
55,VBL,Varun Beverages Limited
56,DLF,DLF Limited
57,BANKBARODA,Bank of Baroda
58,INDUSINDBK,IndusInd Bank Limited
59,EICHERMOT,Eicher Motors Limited
60,DRREDDY,Dr. Reddy's Laboratories Limited
61,DIVISLAB,Divi's Laboratories Limited
62,BPCL,Bharat Petroleum Corporation Limited
63,HAVELLS,Havells India Limited
64,ADANIPOWER,Adani Power Limited
65,INDIGO,InterGlobe Aviation Limited
66,CIPLA,Cipla Limited
67,AMBUJACEM,Ambuja Cements Limited
68,SRF,SRF Limited
69,ABB,ABB India Limited
70,BEL,Bharat Electronics Limited
71,SBICARD,SBI Cards and Payment Services Limited
72,GAIL,GAIL (India) Limited
73,BAJAJHLDNG,Bajaj Holdings & Investment Limited
74,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
75,ICICIPRULI,ICICI Prudential Life Insurance Company Limited
76,CHOLAFIN,Cholamandalam Investment and Finance Company Limited
77,MARICO,Marico Limited
78,APOLLOHOSP,Apollo Hospitals Enterprise Limited
79,TATAPOWER,Tata Power Company Limited
80,BOSCHLTD,Bosch Limited
81,BERGEPAINT,Berger Paints (I) Limited
82,JINDALSTEL,Jindal Steel & Power Limited
83,MCDOWELL-N,United Spirits Limited
84,UPL,UPL Limited
85,AWL,Adani Wilmar Limited
86,ICICIGI,ICICI Lombard General Insurance Company Limited
87,TORNTPHARM,Torrent Pharmaceuticals Limited
88,CANBK,Canara Bank
89,PNB,Punjab National Bank
90,TVSMOTOR,TVS Motor Company Limited
91,ZYDUSLIFE,Zydus Lifesciences Limited
92,TIINDIA,Tube Investments of India Limited
93,TRENT,Trent Limited
94,IDBI,IDBI Bank Limited
95,NAUKRI,Info Edge (India) Limited
96,SHRIRAMFIN,Shriram Finance Limited
97,HEROMOTOCO,Hero MotoCorp Limited
98,INDHOTEL,The Indian Hotels Company Limited
99,PIIND,PI Industries Limited
100,IRCTC,Indian Railway Catering And Tourism Corporation Limited
101,CGPOWER,CG Power and Industrial Solutions Limited
102,UNIONBANK,Union Bank of India
103,MOTHERSON,Samvardhana Motherson International Limited
104,CUMMINSIND,Cummins India Limited
105,SCHAEFFLER,Schaeffler India Limited
106,LODHA,Macrotech Developers Limited
107,ZOMATO,Zomato Limited
108,PGHH,Procter & Gamble Hygiene and Health Care Limited
109,YESBANK,Yes Bank Limited
110,POLYCAB,Polycab India Limited
111,MAXHEALTH,Max Healthcare Institute Limited
112,IOB,Indian Overseas Bank
113,PAGEIND,Page Industries Limited
114,COLPAL,Colgate Palmolive (India) Limited
115,ASHOKLEY,Ashok Leyland Limited
116,ALKEM,Alkem Laboratories Limited
117,NHPC,NHPC Limited
118,PAYTM,One 97 Communications Limited
119,PFC,Power Finance Corporation Limited
120,JSWENERGY,JSW Energy Limited
121,MUTHOOTFIN,Muthoot Finance Limited
122,AUBANK,AU Small Finance Bank Limited
123,INDUSTOWER,Indus Towers Limited
124,BALKRISIND,Balkrishna Industries Limited
125,UBL,United Breweries Limited
126,ABCAPITAL,Aditya Birla Capital Limited
127,TATAELXSI,Tata Elxsi Limited
128,DALBHARAT,Dalmia Bharat Limited
129,HDFCAMC,HDFC Asset Management Company Limited
130,INDIANB,Indian Bank
131,ASTRAL,Astral Limited
132,BHARATFORG,Bharat Forge Limited
133,LTTS,L&T Technology Services Limited
134,MRF,MRF Limited
135,TATACOMM,Tata Communications Limited
136,NYKAA,FSN E-Commerce Ventures Limited
137,CONCOR,Container Corporation of India Limited
138,PERSISTENT,Persistent Systems Limited
139,PATANJALI,Patanjali Foods Limited
140,IRFC,Indian Railway Finance Corporation Limited
141,LINDEINDIA,Linde India Limited
142,IDFCFIRSTB,IDFC First Bank Limited
143,PETRONET,Petronet LNG Limited
144,SOLARINDS,Solar Industries India Limited
145,SAIL,Steel Authority of India Limited
146,MPHASIS,MphasiS Limited
147,HINDPETRO,Hindustan Petroleum Corporation Limited
148,APLAPOLLO,APL Apollo Tubes Limited
149,FLUOROCHEM,Gujarat Fluorochemicals Limited
150,NMDC,NMDC Limited
151,HONAUT,Honeywell Automation India Limited
152,SUPREMEIND,Supreme Industries Limited
153,GUJGASLTD,Gujarat Gas Limited
154,BANDHANBNK,Bandhan Bank Limited
155,ACC,ACC Limited
156,OBEROIRLTY,Oberoi Realty Limited
157,BANKINDIA,Bank of India
158,RECLTD,REC Limited
159,AUROPHARMA,Aurobindo Pharma Limited
160,STARHEALTH,Star Health and Allied Insurance Company Limited
161,IGL,Indraprastha Gas Limited
